mine_id,name,state,district,company,mine_type,ownership,status,name_normalized,company_normalized,state_normalized,district_normalized,_match_name,match_name,match_score,match_method,coordinate_source_name,latitude,longitude
CM-272,Navapara,Chhattisgarh,SURGUJA,SECL,UNDERGROUND,PUBLIC,WORKING,navapara,secl,chhattisgarh,surguja,navapara,navapara,100,EXACT,Navapara,,
CM-273,Neelijay OCM,Maharashtra,YAVATMAL,WCL,OPENCAST,PUBLIC,WORKING,neelijay ocm,wcl,maharashtra,yavatmal,neelijay ocm,neelijay ocm,100,EXACT,Neelijay OCM,,
CM-274,Nehariya,Madhya Pradesh,CHHINDWARA,WCL,UNDERGROUND,PUBLIC,WORKING,nehariya,wcl,madhya pradesh,chhindwara,nehariya,nehariya,100,EXACT,Nehariya,,
CM-275,New Godhur-Kusunda-Alkusa,Jharkhand,DHANBAD,BCCL,OPENCAST,PUBLIC,WORKING,new godhur kusunda alkusa,bccl,jharkhand,dhanbad,new godhur kusunda alkusa,new godhur kusunda alkusa,100,EXACT,New Godhur-Kusunda-Alkusa,,
CM-276,New Kenda Colliery,West Bengal,Bardhaman,ECL,OPENCAST,PUBLIC,WORKING,new kenda,ecl,west bengal,bardhaman,new kenda,new kenda,100,EXACT,New Kenda Colliery,,
CM-277,New Majri - I(A) & II Extn. (A) OC,Maharashtra,CHANDRAPUR,WCL,OPENCAST,PUBLIC,WORKING,new majri i a ii extn a oc,wcl,maharashtra,chandrapur,new majri i a ii extn a oc,new majri i a ii extn a oc,100,EXACT,New Majri - I(A) & II Extn. (A) OC,,
CM-278,New Majri UG to OC Expn.,Maharashtra,CHANDRAPUR,WCL,OPENCAST,PUBLIC,WORKING,new majri ug to oc expn,wcl,maharashtra,chandrapur,new majri ug to oc expn,new majri ug to oc expn,100,EXACT,New Majri UG to OC Expn.,,
CM-279,New Moghla Coal Mine,Jammu & Kashmir,Rajouri,JKML,UNDERGROUND,PUBLIC,WORKING,new moghla,jkml,jammu kashmir,rajouri,new moghla,new moghla,100,EXACT,New Moghla Coal Mine,,
CM-280,New Sethia,Madhya Pradesh,CHHINDWARA,WCL,OPENCAST,PUBLIC,NON_WORKING,new sethia,wcl,madhya pradesh,chhindwara,new sethia,new sethia,100,EXACT,New Sethia,,
CM-281,Nichitpur,Jharkhand,DHANBAD,BCCL,OPENCAST,PUBLIC,WORKING,nichitpur,bccl,jharkhand,dhanbad,nichitpur,nichitpur,100,EXACT,Nichitpur,,
CM-282,Nigahi Project,Madhya Pradesh,SINGRAULI,NCL,OPENCAST,PUBLIC,WORKING,nigahi,ncl,madhya pradesh,singrauli,nigahi,nigahi,100,EXACT,Nigahi Project,,
CM-283,"Nimcha Colliery , Nimcha OC (Amkola) & Nimcha Highwall",West Bengal,Bardhaman,ECL,MIXED,PUBLIC,WORKING,nimcha nimcha oc amkola nimcha highwall,ecl,west bengal,bardhaman,nimcha nimcha oc amkola nimcha highwall,nimcha nimcha oc amkola nimcha highwall,100,EXACT,"Nimcha Colliery , Nimcha OC (Amkola) & Nimcha Highwall",,
CM-284,Ningah Colliery,West Bengal,Bardhaman,ECL,UNDERGROUND,PUBLIC,WORKING,ningah,ecl,west bengal,bardhaman,ningah,ningah,100,EXACT,Ningah Colliery,,
