mine_id,name,state,district,company,mine_type,ownership,status,name_normalized,company_normalized,state_normalized,district_normalized,_match_name,match_name,match_score,match_method,coordinate_source_name,latitude,longitude,coordinate_valid,coordinate_status
CM-157,Jamadoba Colliery,Jharkhand,DHANBAD,TSL,MIXED,PRIVATE,WORKING,jamadoba,tsl,jharkhand,dhanbad,jamadoba,jamadoba,100,EXACT,Jamadoba Colliery,,,False,MISSING_OR_INVALID
CM-158,Jambad OCP,West Bengal,Bardhaman,ECL,OPENCAST,PUBLIC,WORKING,jambad ocp,ecl,west bengal,bardhaman,jambad ocp,jambad ocp,100,EXACT,Jambad OCP,,,False,MISSING_OR_INVALID
CM-159,Jambad UG Colliery,West Bengal,Bardhaman,ECL,UNDERGROUND,PUBLIC,WORKING,jambad ug,ecl,west bengal,bardhaman,jambad ug,jambad ug,100,EXACT,Jambad UG Colliery,,,False,MISSING_OR_INVALID
CM-160,Jamkhani Coal Mine,Odisha,SUNDARGARH,Vedanta,OPENCAST,PRIVATE,WORKING,jamkhani,vedanta,odisha,sundargarh,jamkhani,jamkhani,100,EXACT,Jamkhani Coal Mine,,,False,MISSING_OR_INVALID
CM-161,Jampali,Chhattisgarh,RAIGARH,SECL,OPENCAST,PUBLIC,WORKING,jampali,secl,chhattisgarh,raigarh,jampali,jampali,100,EXACT,Jampali,,,False,MISSING_OR_INVALID
CM-162,Jamuna 9 & 10 Jamuna RO,Madhya Pradesh,SHAHDOL,SECL,UNDERGROUND,PUBLIC,WORKING,jamuna 9 10 jamuna ro,secl,madhya pradesh,shahdol,jamuna 9 10 jamuna ro,jamuna 9 10 jamuna ro,100,EXACT,Jamuna 9 & 10 Jamuna RO,,,False,MISSING_OR_INVALID
CM-163,Jarangdih OC,Jharkhand,BOKARO,CCL,OPENCAST,PUBLIC,WORKING,jarangdih oc,ccl,jharkhand,bokaro,jarangdih oc,jarangdih oc,100,EXACT,Jarangdih OC,,,False,MISSING_OR_INVALID
CM-164,"Jawahar Khani OC-5,",Telangana,KHAMMAM,SCCL,OPENCAST,PUBLIC,WORKING,jawahar khani oc 5,sccl,telangana,khammam,jawahar khani oc 5,jawahar khani oc 5,100,EXACT,"Jawahar Khani OC-5,",,,False,MISSING_OR_INVALID
CM-165,Jayant Project,Madhya Pradesh,SINGRAULI,NCL,OPENCAST,PUBLIC,WORKING,jayant,ncl,madhya pradesh,singrauli,jayant,jayant,100,EXACT,Jayant Project,,,False,MISSING_OR_INVALID
CM-166,Jhanjra Project Colliery,West Bengal,Bardhaman,ECL,UNDERGROUND,PUBLIC,WORKING,jhanjra,ecl,west bengal,bardhaman,jhanjra,jhanjra,100,EXACT,Jhanjra Project Colliery,,,False,MISSING_OR_INVALID
CM-167,Jharkhand OCP,Jharkhand,RAMGARH,CCL,OPENCAST,PUBLIC,WORKING,jharkhand ocp,ccl,jharkhand,ramgarh,jharkhand ocp,jharkhand ocp,100,EXACT,Jharkhand OCP,,,False,MISSING_OR_INVALID
CM-168,Jhilimili Colliery,Chhattisgarh,KOREA,SECL,UNDERGROUND,PUBLIC,WORKING,jhilimili,secl,chhattisgarh,korea,jhilimili,jhilimili,100,EXACT,Jhilimili Colliery,,,False,MISSING_OR_INVALID
CM-169,Jhingurda Project,Madhya Pradesh,SINGRAULI,NCL,OPENCAST,PUBLIC,WORKING,jhingurda,ncl,madhya pradesh,singrauli,jhingurda,jhingurda,100,EXACT,Jhingurda Project,,,False,MISSING_OR_INVALID
CM-170,Jhiria,Madhya Pradesh,SHAHDOL,SECL,UNDERGROUND,PUBLIC,WORKING,jhiria,secl,madhya pradesh,shahdol,jhiria,jhiria,100,EXACT,Jhiria,,,False,MISSING_OR_INVALID
CM-171,Jitpur Colliery,Jharkhand,DHANBAD,IISCO,UNDERGROUND,PUBLIC,WORKING,jitpur,iisco,jharkhand,dhanbad,jitpur,jitpur,100,EXACT,Jitpur Colliery,,,False,MISSING_OR_INVALID
CM-172,Jogidih,Jharkhand,DHANBAD,BCCL,UNDERGROUND,PUBLIC,WORKING,jogidih,bccl,jharkhand,dhanbad,jogidih,jogidih,100,EXACT,Jogidih,,,False,MISSING_OR_INVALID
CM-173,Joyrampur,Jharkhand,DHANBAD,BCCL,OPENCAST,PUBLIC,WORKING,joyrampur,bccl,jharkhand,dhanbad,joyrampur,joyrampur,100,EXACT,Joyrampur,,,False,MISSING_OR_INVALID
CM-174,"Junad,",Maharashtra,YAVATMAL,WCL,OPENCAST,PUBLIC,WORKING,junad,wcl,maharashtra,yavatmal,junad,junad,100,EXACT,"Junad,",,,False,MISSING_OR_INVALID
CM-175,K. Dewarkhand,Jharkhand,RANCHI,CCL,OPENCAST,PUBLIC,WORKING,k dewarkhand,ccl,jharkhand,ranchi,k dewarkhand,k dewarkhand,100,EXACT,K. Dewarkhand,,,False,MISSING_OR_INVALID
CM-176,Kabribad OC,Jharkhand,GIRIDIH,CCL,OPENCAST,PUBLIC,WORKING,kabribad oc,ccl,jharkhand,giridih,kabribad oc,kabribad oc,100,EXACT,Kabribad OC,,,False,MISSING_OR_INVALID
CM-177,Kakatiya Khani-1 & 1A Incline,Telangana,JAYASHANKAR BHUPALPALLY,SCCL,UNDERGROUND,PUBLIC,WORKING,kakatiya khani 1 1a incline,sccl,telangana,jayashankar bhupalpally,kakatiya khani 1 1a incline,kakatiya khani 1 1a incline,100,EXACT,Kakatiya Khani-1 & 1A Incline,,,False,MISSING_OR_INVALID
CM-178,Kakatiya Khani-5 Incline,Telangana,JAYASHANKAR BHUPALPALLY,SCCL,UNDERGROUND,PUBLIC,WORKING,kakatiya khani 5 incline,sccl,telangana,jayashankar bhupalpally,kakatiya khani 5 incline,kakatiya khani 5 incline,100,EXACT,Kakatiya Khani-5 Incline,,,False,MISSING_OR_INVALID
CM-179,"Kakatiya Khani-6, Incline",Telangana,JAYASHANKAR BHUPALPALLY,SCCL,UNDERGROUND,PUBLIC,WORKING,kakatiya khani 6 incline,sccl,telangana,jayashankar bhupalpally,kakatiya khani 6 incline,kakatiya khani 6 incline,100,EXACT,"Kakatiya Khani-6, Incline",,,False,MISSING_OR_INVALID
CM-180,Kakatiya Khani-8 & 8A Incline,Telangana,JAYASHANKAR BHUPALPALLY,SCCL,UNDERGROUND,PUBLIC,WORKING,kakatiya khani 8 8a incline,sccl,telangana,jayashankar bhupalpally,kakatiya khani 8 8a incline,kakatiya khani 8 8a incline,100,EXACT,Kakatiya Khani-8 & 8A Incline,,,False,MISSING_OR_INVALID
CM-181,Kakatiya Khani-OC II,Telangana,JAYASHANKAR BHUPALPALLY,SCCL,OPENCAST,PUBLIC,WORKING,kakatiya khani oc ii,sccl,telangana,jayashankar bhupalpally,kakatiya khani oc ii,kakatiya khani oc ii,100,EXACT,Kakatiya Khani-OC II,,,False,MISSING_OR_INVALID
CM-182,Kakatiya Khani-OC-III,Telangana,JAYASHANKAR BHUPALPALLY,SCCL,OPENCAST,PUBLIC,WORKING,kakatiya khani oc iii,sccl,telangana,jayashankar bhupalpally,kakatiya khani oc iii,kakatiya khani oc iii,100,EXACT,Kakatiya Khani-OC-III,,,False,MISSING_OR_INVALID
CM-183,Kakri Project,Madhya Pradesh,SINGRAULI,NCL,OPENCAST,PUBLIC,WORKING,kakri,ncl,madhya pradesh,singrauli,kakri,kakri,100,EXACT,Kakri Project,,,False,MISSING_OR_INVALID
CM-184,Kalidaspur Project,West Bengal,BANKURA,ECL,UNDERGROUND,PUBLIC,WORKING,kalidaspur,ecl,west bengal,bankura,kalidaspur,kalidaspur,100,EXACT,Kalidaspur Project,,,False,MISSING_OR_INVALID
CM-185,Kalyan Khani OC,Telangana,MANCHERIAL,SCCL,OPENCAST,PUBLIC,WORKING,kalyan khani oc,sccl,telangana,mancherial,kalyan khani oc,kalyan khani oc,100,EXACT,Kalyan Khani OC,,,False,MISSING_OR_INVALID
CM-186,Kalyan Khani-1 & 5 Incline,Telangana,MANCHERIAL,SCCL,UNDERGROUND,PUBLIC,WORKING,kalyan khani 1 5 incline,sccl,telangana,mancherial,kalyan khani 1 5 incline,kalyan khani 1 5 incline,100,EXACT,Kalyan Khani-1 & 5 Incline,,,False,MISSING_OR_INVALID
CM-187,Kanchan OC,Madhya Pradesh,UMARIA,SECL,OPENCAST,PUBLIC,WORKING,kanchan oc,secl,madhya pradesh,umaria,kanchan oc,kanchan oc,100,EXACT,Kanchan OC,,,False,MISSING_OR_INVALID
CM-188,Kaniha OCP,Odisha,Angul,MCL,OPENCAST,PUBLIC,WORKING,kaniha ocp,mcl,odisha,angul,kaniha ocp,kaniha ocp,100,EXACT,Kaniha OCP,,,False,MISSING_OR_INVALID
CM-189,Kankanee,Jharkhand,DHANBAD,BCCL,OPENCAST,PUBLIC,WORKING,kankanee,bccl,jharkhand,dhanbad,kankanee,kankanee,100,EXACT,Kankanee,,,False,MISSING_OR_INVALID
CM-190,Kapasara,Jharkhand,DHANBAD,ECL,OPENCAST,PUBLIC,WORKING,kapasara,ecl,jharkhand,dhanbad,kapasara,kapasara,100,EXACT,Kapasara,,,False,MISSING_OR_INVALID
CM-191,Kapurdi,Chhattisgarh,RAIGARH,HIL,UNDERGROUND,PRIVATE,NON_WORKING,kapurdi,hil,chhattisgarh,raigarh,kapurdi,kapurdi,100,EXACT,Kapurdi,,,False,MISSING_OR_INVALID
CM-192,Kargali OC,Jharkhand,BOKARO,CCL,OPENCAST,PUBLIC,NON_WORKING,kargali oc,ccl,jharkhand,bokaro,kargali oc,kargali oc,100,EXACT,Kargali OC,,,False,MISSING_OR_INVALID
CM-193,Karma,Jharkhand,RAMGARH,CCL,OPENCAST,PUBLIC,WORKING,karma,ccl,jharkhand,ramgarh,karma,karma,100,EXACT,Karma,,,False,MISSING_OR_INVALID
CM-194,KARO SPL.UG,Jharkhand,BOKARO,CCL,UNDERGROUND,PUBLIC,NON_WORKING,karo spl ug,ccl,jharkhand,bokaro,karo spl ug,karo spl ug,100,EXACT,KARO SPL.UG,,,False,MISSING_OR_INVALID
CM-195,Karo-I OC,Jharkhand,BOKARO,CCL,OPENCAST,PUBLIC,WORKING,karo i oc,ccl,jharkhand,bokaro,karo i oc,karo i oc,100,EXACT,Karo-I OC,,,False,MISSING_OR_INVALID
CM-196,Kasipet 1 Incline,Telangana,MANCHERIAL,SCCL,UNDERGROUND,PUBLIC,WORKING,kasipet 1 incline,sccl,telangana,mancherial,kasipet 1 incline,kasipet 1 incline,100,EXACT,Kasipet 1 Incline,,,False,MISSING_OR_INVALID
CM-197,Kasipet 2 Incline,Telangana,MANCHERIAL,SCCL,UNDERGROUND,PUBLIC,WORKING,kasipet 2 incline,sccl,telangana,mancherial,kasipet 2 incline,kasipet 2 incline,100,EXACT,Kasipet 2 Incline,,,False,MISSING_OR_INVALID
CM-198,Kathara Colly,Jharkhand,BOKARO,CCL,OPENCAST,PUBLIC,WORKING,kathara colly,ccl,jharkhand,bokaro,kathara colly,kathara colly,100,EXACT,Kathara Colly,,,False,MISSING_OR_INVALID
CM-199,Kathautia Open Cast Coal Mine,Jharkhand,PALAMU,HIL,OPENCAST,PRIVATE,WORKING,kathautia open cast,hil,jharkhand,palamu,kathautia open cast,kathautia open cast,100,EXACT,Kathautia Open Cast Coal Mine,,,False,MISSING_OR_INVALID
CM-200,Katkona 1 & 2,Chhattisgarh,KOREA,SECL,UNDERGROUND,PUBLIC,WORKING,katkona 1 2,secl,chhattisgarh,korea,katkona 1 2,katkona 1 2,100,EXACT,Katkona 1 & 2,,,False,MISSING_OR_INVALID
CM-201,Kedla (OC),Jharkhand,RAMGARH,CCL,OPENCAST,PUBLIC,NON_WORKING,kedla oc,ccl,jharkhand,ramgarh,kedla oc,kedla oc,100,EXACT,Kedla (OC),,,False,MISSING_OR_INVALID
CM-202,Kedla UG,Jharkhand,RAMGARH,CCL,UNDERGROUND,PUBLIC,NON_WORKING,kedla ug,ccl,jharkhand,ramgarh,kedla ug,kedla ug,100,EXACT,Kedla UG,,,False,MISSING_OR_INVALID
CM-203,Kerandari,Jharkhand,HAZARIBAGH,NTPC,OPENCAST,PUBLIC,WORKING,kerandari,ntpc,jharkhand,hazaribagh,kerandari,kerandari,100,EXACT,Kerandari,,,False,MISSING_OR_INVALID
CM-204,Ketki,Chhattisgarh,SURGUJA,SECL,UNDERGROUND,PUBLIC,WORKING,ketki,secl,chhattisgarh,surguja,ketki,ketki,100,EXACT,Ketki,,,False,MISSING_OR_INVALID
CM-205,Khadia Project,Uttar Pradesh,SONBHADRA,NCL,OPENCAST,PUBLIC,WORKING,khadia,ncl,uttar pradesh,sonbhadra,khadia,khadia,100,EXACT,Khadia Project,,,False,MISSING_OR_INVALID
CM-206,Khairagura OC,Telangana,Komaram Bheem,SCCL,OPENCAST,PUBLIC,WORKING,khairagura oc,sccl,telangana,komaram bheem,khairagura oc,khairagura oc,100,EXACT,Khairagura OC,,,False,MISSING_OR_INVALID
CM-207,Khairaha,Madhya Pradesh,SHAHDOL,SECL,UNDERGROUND,PUBLIC,WORKING,khairaha,secl,madhya pradesh,shahdol,khairaha,khairaha,100,EXACT,Khairaha,,,False,MISSING_OR_INVALID
CM-208,Khandra Colliery,West Bengal,Bardhaman,ECL,UNDERGROUND,PUBLIC,WORKING,khandra,ecl,west bengal,bardhaman,khandra,khandra,100,EXACT,Khandra Colliery,,,False,MISSING_OR_INVALID
CM-209,Kharkharee,Jharkhand,DHANBAD,BCCL,UNDERGROUND,PUBLIC,WORKING,kharkharee,bccl,jharkhand,dhanbad,kharkharee,kharkharee,100,EXACT,Kharkharee,,,False,MISSING_OR_INVALID
CM-210,Khas Kajora Colliery,West Bengal,Bardhaman,ECL,UNDERGROUND,PUBLIC,WORKING,khas kajora,ecl,west bengal,bardhaman,khas kajora,khas kajora,100,EXACT,Khas Kajora Colliery,,,False,MISSING_OR_INVALID
CM-211,Khoodia,Jharkhand,DHANBAD,ECL,UNDERGROUND,PUBLIC,WORKING,khoodia,ecl,jharkhand,dhanbad,khoodia,khoodia,100,EXACT,Khoodia,,,False,MISSING_OR_INVALID
